Horizontal Position [m],Intensity [ph/s/.1%bw/mm²]
-7.258494598e-4,1.688053613e+12
-7.240069000e-4,1.620619690e+12
-7.221643402e-4,1.808913400e+12
-7.203217803e-4,2.017774797e+12
-7.184792205e-4,2.121483551e+12
-7.166366606e-4,2.344245002e+12
-7.147941008e-4,2.710491365e+12
-7.129515409e-4,2.708379533e+12
-7.111089811e-4,2.620619489e+12
-7.092664212e-4,2.806979756e+12
-7.074238614e-4,3.051677811e+12
-7.055813016e-4,2.962681758e+12
-7.037387417e-4,2.881750041e+12
-7.018961819e-4,2.915936502e+12
-7.000536220e-4,2.841462702e+12
-6.982110622e-4,2.638857372e+12
-6.963685023e-4,2.598771622e+12
-6.945259425e-4,2.540630180e+12
-6.926833826e-4,2.281322578e+12
-6.908408228e-4,2.037255373e+12
-6.889982630e-4,1.999788311e+12
-6.871557031e-4,1.891214426e+12
-6.853131433e-4,1.601018528e+12
-6.834705834e-4,1.392026845e+12
-6.816280236e-4,1.350053659e+12
-6.797854637e-4,1.232047047e+12
-6.779429039e-4,1.001912730e+12
-6.761003440e-4,8.450626683e+11
-6.742577842e-4,7.909160387e+11
-6.724152244e-4,7.102267392e+11
-6.705726645e-4,5.691906458e+11
-6.687301047e-4,4.366239007e+11
-6.668875448e-4,3.876678205e+11
-6.650449850e-4,3.716331274e+11
-6.632024251e-4,2.764475269e+11
-6.613598653e-4,1.700575150e+11
-6.595173054e-4,1.542436618e+11
-6.576747456e-4,1.549220086e+11
-6.558321858e-4,9.596103885e+10
-6.539896259e-4,4.660839219e+10
-6.521470661e-4,3.305391514e+10
-6.503045062e-4,3.202851430e+10
-6.484619464e-4,2.028998656e+10
-6.466193865e-4,2.532285440e+9
-6.447768267e-4,1.989002880e+9
-6.429342668e-4,5.067387904e+9
-6.410917070e-4,2.201768960e+9
-6.392491472e-4,7.941852160e+9
-6.374065873e-4,3.100641894e+10
-6.355640275e-4,4.718066074e+10
-6.337214676e-4,3.896022630e+10
-6.318789078e-4,4.128659456e+10
-6.300363479e-4,7.628293734e+10
-6.281937881e-4,1.217514209e+11
-6.263512282e-4,1.345903821e+11
-6.245086684e-4,1.143315251e+11
-6.226661086e-4,1.263339684e+11
-6.208235487e-4,1.802448568e+11
-6.189809889e-4,2.454450831e+11
-6.171384290e-4,2.475253432e+11
-6.152958692e-4,2.216709816e+11
-6.134533093e-4,2.216393441e+11
-6.116107495e-4,2.900044677e+11
-6.097681896e-4,3.634437161e+11
-6.079256298e-4,3.808040059e+11
-6.060830700e-4,3.394060616e+11
-6.042405101e-4,3.184927703e+11
-6.023979503e-4,3.680304497e+11
-6.005553904e-4,4.587762811e+11
-5.987128306e-4,5.088015811e+11
-5.968702707e-4,4.818297815e+11
-5.950277109e-4,4.257077985e+11
-5.931851510e-4,4.228367647e+11
-5.913425912e-4,4.944265544e+11
-5.895000313e-4,5.829693276e+11
-5.876574715e-4,6.100623688e+11
-5.858149117e-4,5.623888609e+11
-5.839723518e-4,4.972866765e+11
-5.821297920e-4,4.911185920e+11
-5.802872321e-4,5.589240381e+11
-5.784446723e-4,6.474788372e+11
-5.766021124e-4,6.810267156e+11
-5.747595526e-4,6.367414845e+11
-5.729169927e-4,5.560021156e+11
-5.710744329e-4,5.127859077e+11
-5.692318731e-4,5.442380431e+11
-5.673893132e-4,6.278023741e+11
-5.655467534e-4,6.954511237e+11
-5.637041935e-4,6.960953426e+11
-5.618616337e-4,6.268292956e+11
-5.600190738e-4,5.399735173e+11
-5.581765140e-4,4.940732170e+11
-5.563339541e-4,5.185538294e+11
-5.544913943e-4,5.901538427e+11
-5.526488345e-4,6.573403013e+11
-5.508062746e-4,6.714885407e+11
-5.489637148e-4,6.203928084e+11
-5.471211549e-4,5.308110275e+11
-5.452785951e-4,4.524288573e+11
-5.434360352e-4,4.240146104e+11
-5.415934754e-4,4.538466632e+11
-5.397509155e-4,5.167016509e+11
-5.379083557e-4,5.732326441e+11
-5.360657959e-4,5.883550106e+11
-5.342232360e-4,5.496638996e+11
-5.323806762e-4,4.717295698e+11
-5.305381163e-4,3.871535923e+11
-5.286955565e-4,3.274965647e+11
-5.268529966e-4,3.114665902e+11
-5.250104368e-4,3.382639329e+11
-5.231678769e-4,3.897582879e+11
-5.213253171e-4,4.392705393e+11
-5.194827573e-4,4.634338591e+11
-5.176401974e-4,4.504587141e+11
-5.157976376e-4,4.025800786e+11
-5.139550777e-4,3.335528120e+11
-5.121125179e-4,2.621297295e+11
-5.102699580e-4,2.074468188e+11
-5.084273982e-4,1.799921664e+11
-5.065848383e-4,1.828394435e+11
-5.047422785e-4,2.101812593e+11
-5.028997187e-4,2.510372045e+11
-5.010571588e-4,2.923938447e+11
-4.992145990e-4,3.229821829e+11
-4.973720391e-4,3.349489254e+11
-4.955294793e-4,3.265271562e+11
-4.936869194e-4,2.982038733e+11
-4.918443596e-4,2.566415155e+11
-4.900017997e-4,2.074037453e+11
-4.881592399e-4,1.593698877e+11
-4.863166801e-4,1.177915064e+11
-4.844741202e-4,8.847689318e+10
-4.826315604e-4,7.318571418e+10
-4.807890005e-4,7.321544294e+10
-4.789464407e-4,8.720878797e+10
-4.771038808e-4,1.133694730e+11
-4.752613210e-4,1.481545482e+11
-4.734187611e-4,1.890169979e+11
-4.715762013e-4,2.320858644e+11
-4.697336415e-4,2.750867702e+11
-4.678910816e-4,3.145282355e+11
-4.660485218e-4,3.495240335e+11
-4.642059619e-4,3.773334487e+11
-4.623634021e-4,3.979665736e+11
-4.605208422e-4,4.100302111e+11
-4.586782824e-4,4.147619103e+11
-4.568357225e-4,4.110123663e+11
-4.549931627e-4,4.006431621e+11
-4.531506029e-4,3.832800870e+11
-4.513080430e-4,3.610495222e+11
-4.494654832e-4,3.336395162e+11
-4.476229233e-4,3.034157875e+11
-4.457803635e-4,2.706642534e+11
-4.439378036e-4,2.368326042e+11
-4.420952438e-4,2.024226816e+11
-4.402526839e-4,1.688293868e+11
-4.384101241e-4,1.365081784e+11
-4.365675643e-4,1.062723174e+11
-4.347250044e-4,7.873363149e+10
-4.328824446e-4,5.457574298e+10
-4.310398847e-4,3.422232371e+10
-4.291973249e-4,1.812771430e+10
-4.273547650e-4,6.896589312e+9
-4.255122052e-4,9.285413760e+8
-4.236696453e-4,7.216620800e+8
-4.218270855e-4,6.794339840e+9
-4.199845257e-4,1.965214310e+10
-4.181419658e-4,3.991362355e+10
-4.162994060e-4,6.814089626e+10
-4.144568461e-4,1.051287224e+11
-4.126142863e-4,1.511810990e+11
-4.107717264e-4,2.072277320e+11
-4.089291666e-4,2.734309540e+11
-4.070866067e-4,3.507427738e+11
-4.052440469e-4,4.387995648e+11
-4.034014871e-4,5.383589724e+11
-4.015589272e-4,6.482648105e+11
-3.997163674e-4,7.687038566e+11
-3.978738075e-4,8.972420383e+11
-3.960312477e-4,1.033387704e+12
-3.941886878e-4,1.173098070e+12
-3.923461280e-4,1.314973024e+12
-3.905035681e-4,1.453390561e+12
-3.886610083e-4,1.586227970e+12
-3.868184485e-4,1.706230022e+12
-3.849758886e-4,1.810809750e+12
-3.831333288e-4,1.893875581e+12
-3.812907689e-4,1.953305854e+12
-3.794482091e-4,1.985212973e+12
-3.776056492e-4,1.991678099e+12
-3.757630894e-4,1.972705821e+12
-3.739205295e-4,1.935951921e+12
-3.720779697e-4,1.887433785e+12
-3.702354099e-4,1.841447043e+12
-3.683928500e-4,1.808765288e+12
-3.665502902e-4,1.806660272e+12
-3.647077303e-4,1.846337077e+12
-3.628651705e-4,1.941287600e+12
-3.610226106e-4,2.095102820e+12
-3.591800508e-4,2.308527358e+12
-3.573374909e-4,2.568855749e+12
-3.554949311e-4,2.860885475e+12
